    table_name     | shardid |     nodename      | nodeport 
-------------------+---------+-------------------+----------
 usuario           |  102008 | citus_worker1     |     5432
 usuario           |  102009 | citus_worker2     |     5432
 usuario           |  102010 | citus_worker1     |     5432
 usuario           |  102011 | citus_worker2     |     5432
 usuario           |  102012 | citus_worker1     |     5432
 usuario           |  102013 | citus_worker2     |     5432
 usuario           |  102014 | citus_worker1     |     5432
 usuario           |  102015 | citus_worker2     |     5432
 usuario           |  102016 | citus_worker1     |     5432
 usuario           |  102017 | citus_worker2     |     5432
 usuario           |  102018 | citus_worker1     |     5432
 usuario           |  102019 | citus_worker2     |     5432
 usuario           |  102020 | citus_worker1     |     5432
 usuario           |  102021 | citus_worker2     |     5432
 usuario           |  102022 | citus_worker1     |     5432
 usuario           |  102023 | citus_worker2     |     5432
 usuario           |  102024 | citus_worker1     |     5432
 usuario           |  102025 | citus_worker2     |     5432
 usuario           |  102026 | citus_worker1     |     5432
 usuario           |  102027 | citus_worker2     |     5432
 usuario           |  102028 | citus_worker1     |     5432
 usuario           |  102029 | citus_worker2     |     5432
 usuario           |  102030 | citus_worker1     |     5432
 usuario           |  102031 | citus_worker2     |     5432
 usuario           |  102032 | citus_worker1     |     5432
 usuario           |  102033 | citus_worker2     |     5432
 usuario           |  102034 | citus_worker1     |     5432
 usuario           |  102035 | citus_worker2     |     5432
 usuario           |  102036 | citus_worker1     |     5432
 usuario           |  102037 | citus_worker2     |     5432
 usuario           |  102038 | citus_worker1     |     5432
 usuario           |  102039 | citus_worker2     |     5432
 atencion          |  102040 | citus_worker1     |     5432
 atencion          |  102041 | citus_worker2     |     5432
 atencion          |  102042 | citus_worker1     |     5432
 atencion          |  102043 | citus_worker2     |     5432
 atencion          |  102044 | citus_worker1     |     5432
 atencion          |  102045 | citus_worker2     |     5432
 atencion          |  102046 | citus_worker1     |     5432
 atencion          |  102047 | citus_worker2     |     5432
 atencion          |  102048 | citus_worker1     |     5432
 atencion          |  102049 | citus_worker2     |     5432
 atencion          |  102050 | citus_worker1     |     5432
 atencion          |  102051 | citus_worker2     |     5432
 atencion          |  102052 | citus_worker1     |     5432
 atencion          |  102053 | citus_worker2     |     5432
 atencion          |  102054 | citus_worker1     |     5432
 atencion          |  102055 | citus_worker2     |     5432
 atencion          |  102056 | citus_worker1     |     5432
 atencion          |  102057 | citus_worker2     |     5432
 atencion          |  102058 | citus_worker1     |     5432
 atencion          |  102059 | citus_worker2     |     5432
 atencion          |  102060 | citus_worker1     |     5432
 atencion          |  102061 | citus_worker2     |     5432
 atencion          |  102062 | citus_worker1     |     5432
 atencion          |  102063 | citus_worker2     |     5432
 atencion          |  102064 | citus_worker1     |     5432
 atencion          |  102065 | citus_worker2     |     5432
 atencion          |  102066 | citus_worker1     |     5432
 atencion          |  102067 | citus_worker2     |     5432
 atencion          |  102068 | citus_worker1     |     5432
 atencion          |  102069 | citus_worker2     |     5432
 atencion          |  102070 | citus_worker1     |     5432
 atencion          |  102071 | citus_worker2     |     5432
 tecnologia_salud  |  102072 | citus_worker1     |     5432
 tecnologia_salud  |  102073 | citus_worker2     |     5432
 tecnologia_salud  |  102074 | citus_worker1     |     5432
 tecnologia_salud  |  102075 | citus_worker2     |     5432
