Referencias,,,,,,,,,
1.1,Docker Compose / Kubernetes,"Contenerización completa del stack (HAPI FHIR, BD, API, frontends) orquestada con Docker Compose o K8s.","Todos los servicios en contenedores, health-checks, restart policies, red interna definida.","≥80% de servicios contenerizados, algún health-check faltante.",Contenerización parcial; arranca manualmente algún servicio.,Sin contenerización o no funciona el stack.,10%, , 
1.2,3 Nodos / Ciudades Simuladas,"El sistema simula 3 nodos geográficos (ej. Sincelejo, Bogotá, Medellín) con servicios FHIR replicados.",3 nodos independientes con DNS/hostnames distintos y tráfico entre nodos demostrado.,3 nodos definidos pero solo 2 responden peticiones cruzadas correctamente.,2 nodos funcionales; el 3° no procesa solicitudes.,Nodo único o sin aislamiento.,10%, , 
1.3,Red y Volúmenes Persistentes,Configuración de redes internas Docker/K8s y volúmenes para persistencia de datos.,"Redes nombradas, volúmenes montados, datos persisten al reiniciar contenedores.",Volúmenes parciales; algún dato se pierde al reiniciar.,Sin volúmenes persistentes; datos en memoria.,Sin configuración de red ni volúmenes.,5%, , 
🗄️ BASE DE DATOS DISTRIBUIDA TRANSACCIONAL,,,,,,,,,
2.1,BD Distribuida (PostgreSQL/Cassandra),Base de datos replicada entre los 3 nodos con soporte transaccional (ACID o eventual consistency documentada).,"Replicación activa, failover automático probado, transacciones ACID verificadas con logs.",Replicación configurada pero failover manual; transacciones básicas.,BD centralizada sin replicación pero con respaldo.,BD local sin distribución ni transacciones.,10%, , 
2.2,Consistencia y Sincronización,"Mecanismo de sincronización entre nodos (WAL, Raft, Patroni/etcd) visible en el prototipo.",Sincronización automática demostrada: escritura en nodo A reflejada en B y C en <2s.,Sincronización manual o con latencia alta (>10s).,"Sincronización solo documentada, no demostrada.",Sin mecanismo de sincronización.,5%, , 
🔗 SERVICIO HAPI FHIR,,,,,,,,,
3.1,Servidor HAPI FHIR Operativo,"HAPI FHIR R4 corriendo en cada nodo, accesible vía REST, con endpoint /metadata respondiendo.",3 instancias HAPI FHIR operativas; /metadata retorna CapabilityStatement completo.,2 instancias operativas; 1 con errores menores.,1 instancia funcional; las demás no responden.,HAPI FHIR no inicia o no es accesible.,8%, , 
3.2,Peticiones CRUD a los 3 Nodos,"Demostración de POST/GET/PUT sobre recursos FHIR (Patient, Encounter, Observation) a los 3 nodos.",≥5 tipos de recursos FHIR probados en los 3 nodos con evidencia (Postman/curl/logs).,≥3 recursos FHIR probados en ≥2 nodos.,Solo 1 recurso probado en 1 nodo.,Sin peticiones FHIR funcionales.,8%, , 
3.3,Seguridad OAuth2 / SMART on FHIR,Capa de autenticación OAuth2 con JWT para proteger endpoints FHIR.,OAuth2 + JWT implementado; endpoints bloqueados sin token; token con scopes correctos.,OAuth2 configurado pero scopes sin restricción o JWT sin expiración.,Autenticación básica (usuario/contraseña) sin OAuth2.,Sin capa de seguridad.,5%, , 
🖥️ INTERFACES CLÍNICAS (4 MÓDULOS),,,,,,,,,
4.1,Módulo Admisión,"Registro del paciente (recurso Patient FHIR), asignación de número de episodio, selección de nodo.","Crea Patient en FHIR, genera ID único, muestra confirmación con nodo asignado.",Crea Patient pero sin selección de nodo o sin ID visible.,Formulario funcional pero sin conexión real al servidor FHIR.,Módulo no existe o no funciona.,5%, , 
4.2,Módulo Triage,"Registro de signos vitales (Observation FHIR), clasificación por nivel (1-5 Manchester/ESI), vinculado al episodio.",Signos vitales → Observation FHIR; clasificación automática visible; vinculado al Patient.,Registro de signos vitales sin clasificación automática.,Formulario de triage sin conexión FHIR.,Módulo no existe o no funciona.,5%, , 
